Date : 2024-06-07 14:59:29
Directory : c:\Users\Home\mycoffee_front\coffee
Total : 84 files,  27969 codes, 56 comments, 725 blanks, all 28750 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Home\mycoffee_front\coffee\src\components\UniversalTableItem.tsx           | TypeScript JSX     |        164 |          1 |         15 |        180 |
| c:\Users\Home\mycoffee_front\coffee\src\components\Vhod.tsx                         | TypeScript JSX     |        209 |          4 |         21 |        234 |
| c:\Users\Home\mycoffee_front\coffee\src\components\errors\CustomErrorComponent.tsx  | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\Home\mycoffee_front\coffee\src\components\errors\ErrorBoundary.jsx         | JavaScript JSX     |         25 |          0 |          7 |         32 |
| c:\Users\Home\mycoffee_front\coffee\src\components\errors\NotFound.jsx              | JavaScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\About.tsx             | TypeScript JSX     |         64 |          0 |          3 |         67 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Admin.tsx             | TypeScript JSX     |         26 |          0 |          7 |         33 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\AuthContext.jsx       | JavaScript JSX     |         44 |          4 |          9 |         57 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Bot\BotContext.tsx    | TypeScript JSX     |         44 |          0 |         10 |         54 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Bot\Chat.tsx          | TypeScript JSX     |         42 |          0 |          6 |         48 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Buy.tsx               | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\ChangePassword.tsx    | TypeScript JSX     |         89 |          2 |         16 |        107 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Faq.tsx               | TypeScript JSX     |         99 |          0 |          8 |        107 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\FormComponents.jsx    | JavaScript JSX     |         81 |          0 |          9 |         90 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Home.tsx              | TypeScript JSX     |         41 |          0 |          4 |         45 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Liked.tsx             | TypeScript JSX     |         78 |          0 |          9 |         87 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Login.tsx             | TypeScript JSX     |        189 |          0 |         18 |        207 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Opt.tsx               | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\OrderHistory.tsx      | TypeScript JSX     |        117 |          0 |         19 |        136 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Pagination.tsx        | TypeScript JSX     |         37 |          0 |          6 |         43 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Profile.tsx           | TypeScript JSX     |        168 |          0 |         25 |        193 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Reg.tsx               | TypeScript JSX     |        235 |          1 |         11 |        247 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Reset.tsx             | TypeScript JSX     |        320 |          7 |         36 |        363 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\ResetURL.tsx          | TypeScript JSX     |        104 |          2 |         11 |        117 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Shipment.tsx          | TypeScript JSX     |         47 |          0 |          3 |         50 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\basket.tsx            | TypeScript JSX     |        291 |          2 |         23 |        316 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\refreshTokenUtils.jsx | JavaScript JSX     |         53 |          1 |          5 |         59 |
| c:\Users\Home\mycoffee_front\coffee\src\components\navigation\tokenUtils.jsx        | JavaScript JSX     |         57 |          0 |          7 |         64 |
| c:\Users\Home\mycoffee_front\coffee\src\images\carbon-chat.svg                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\Home\mycoffee_front\coffee\src\images\chat-svgrepo-com.svg                 | XML                |          6 |          1 |          5 |         12 |
| c:\Users\Home\mycoffee_front\coffee\src\images\rightarrow_116394.svg                | XML                |         40 |          1 |          1 |         42 |
| c:\Users\Home\mycoffee_front\coffee\src\index.css                                   | CSS                |         12 |          0 |          2 |         14 |
| c:\Users\Home\mycoffee_front\coffee\src\index.tsx                                   | TypeScript JSX     |         23 |          3 |          3 |         29 |
| c:\Users\Home\mycoffee_front\coffee\src\logo.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Home\mycoffee_front\coffee\src\react-app-env.d.ts                          | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\Home\mycoffee_front\coffee\src\reportWebVitals.ts                          | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\Home\mycoffee_front\coffee\src\serverHost.json                             | JSON               |          3 |          0 |          0 |          3 |
| c:\Users\Home\mycoffee_front\coffee\src\setupTests.ts                               | TypeScript         |          1 |          4 |          1 |          6 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\About.css                            | CSS                |         20 |          0 |          0 |         20 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\AdminProfile.css                     | CSS                |         82 |          0 |         15 |         97 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Chat.css                             | CSS                |         92 |          0 |         15 |        107 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\FAQ.css                              | CSS                |         61 |          0 |          6 |         67 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Futer.css                            | CSS                |         77 |          0 |          5 |         82 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Header.css                           | CSS                |        293 |          0 |         10 |        303 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Home.css                             | CSS                |         50 |          1 |          2 |         53 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\ItemAdmin.css                        | CSS                |        154 |          0 |         22 |        176 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\KastomCheckBox.css                   | CSS                |         78 |          0 |         10 |         88 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Login.css                            | CSS                |         78 |          0 |          3 |         81 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\OrderHistory.css                     | CSS                |         23 |          0 |          6 |         29 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Pagination.css                       | CSS                |         30 |          0 |          6 |         36 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Reset.css                            | CSS                |         49 |          0 |          3 |         52 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\SelectGender.css                     | CSS                |         61 |          0 |         10 |         71 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\Shipment.css                         | CSS                |         52 |          0 |          0 |         52 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\basket.css                           | CSS                |        119 |          0 |         23 |        142 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\contact.css                          | CSS                |         18 |          0 |          2 |         20 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\kartKorz.css                         | CSS                |        107 |          0 |          0 |        107 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\katalog.css                          | CSS                |        129 |          0 |          5 |        134 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\modal.css                            | CSS                |         73 |          1 |          6 |         80 |
| c:\Users\Home\mycoffee_front\coffee\src\styles\stickyFooter.css                     | CSS                |         15 |          0 |          4 |         19 |
| c:\Users\Home\mycoffee_front\coffee\tsconfig.json                                   | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                               |                    |     27,969 |         56 |        725 |     28,750 |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
